Product,Sales_K_Unit,Adj_Sales,Functional,Experimental,Symbolic,Cost,Optimistic,Affective,Total_Word_Count,WC_Normalize_Functional,WC_Normalize_Experimental,WC_Normalize_Symbolic,WC_Normalize_Cost,WC_Normalize_Optimistic,WC_Normalize_Affective
Apple Watch 2015,13600,340,632,746,12,89,159,78,"7,174",0.088095902,0.103986618,0.001672707,0.01240591,0.022163368,0.010872595
Apple Watch 2016,11600,290,24,29,4,8,14,6,337,0.071216617,0.086053412,0.011869436,0.023738872,0.041543027,0.017804154
Apple Watch 2017,17700,442.5,219,316,3,64,69,39,"3,159",0.069325736,0.100031656,0.000949668,0.020259576,0.021842355,0.012345679
Apple Watch 2018,22500,562.5,153,198,2,59,40,19,"2,196",0.069672131,0.090163934,0.000910747,0.026867031,0.018214936,0.008652095
iPad,65400,726.6666667,129,169,3,22,28,16,"1,638",0.078754579,0.103174603,0.001831502,0.013431013,0.017094017,0.00976801
iPad 2,31729.10359,352.5455955,431,153,0,77,38,19,"3,729",0.115580585,0.041029767,0,0.020648968,0.0101904,0.0050952
iPad 4,35915.36914,399.0596571,26,35,1,3,12,3,558,0.046594982,0.062724014,0.001792115,0.005376344,0.021505376,0.005376344
iPad Air + iPad Mini 2,77516.31431,861.2923813,190,163,10,74,60,18,"2,402",0.079100749,0.067860117,0.004163197,0.03080766,0.024979184,0.007493755
iPad Pro 9.7 inch + 12.9 inch,33144.72063,368.2746736,246,193,10,68,85,25,"2,807",0.087638048,0.06875668,0.003562522,0.024225151,0.030281439,0.008906306
Iphone,47600,250.5263158,445,752,12,79,134,63,"6,578",0.067649742,0.114320462,0.001824263,0.012009729,0.020370933,0.009577379
Iphone 4,30070,158.2631579,571,798,11,92,135,83,"7,768",0.073506694,0.102729145,0.001416066,0.01184346,0.017378991,0.010684861
Iphone 4S,14184.95464,74.65765602,431,153,0,77,38,19,"3,729",0.115580585,0.041029767,0,0.020648968,0.0101904,0.0050952
iPhone 5,144277.0568,759.3529308,477,442,9,109,138,45,"5,407",0.088218975,0.081745885,0.001664509,0.020159053,0.025522471,0.008322545
iPhone 5C + 5S,233099.6209,1226.84011,24,34,3,0,19,5,390,0.061538462,0.087179487,0.007692308,0,0.048717949,0.012820513
iPhone 6 + iPhone 6 Plus,204719.6296,1077.471735,435,423,17,67,166,40,"5,437",0.080007357,0.077800257,0.003126724,0.012322972,0.030531543,0.007356998
iPhone 7 + iPhone 7 Plus,240434.05,1265.442369,645,593,11,133,212,54,"7,467",0.086380072,0.079416097,0.001473149,0.017811705,0.02839159,0.00723182
iPhone 8 + iPhone 8 Plus,133766.8354,704.0359759,651,611,11,131,229,87,"7,624",0.085388248,0.080141658,0.001442812,0.017182581,0.030036726,0.011411333
iPhone SE ,45054.36919,237.1282589,163,180,3,60,59,28,"2,039",0.079941148,0.088278568,0.001471309,0.029426189,0.028935753,0.013732222
iPhone XS + iPhone XR + iPhone XS Max,117998.5795,621.0451551,715,508,14,125,277,53,"7,519",0.095092433,0.067562176,0.00186195,0.016624551,0.036840005,0.00704881
Macbook Pro_2012,8774.85,584.99,4,5,1,2,3,0,65,0.061538462,0.076923077,0.015384615,0.030769231,0.046153846,0
Mac Pro_2013,371.5428571,371.5428571,85,87,3,23,34,12,"1,189",0.071488646,0.073170732,0.002523129,0.019343987,0.028595458,0.010092515
Macbook_2013,7607.35,507.1566667,72,23,0,28,14,2,656,0.109756098,0.035060976,0,0.042682927,0.021341463,0.00304878
Macbook Pro_2016,7865.39916,524.359944,715,599,16,106,145,71,"6,464",0.110612624,0.092667079,0.002475248,0.016398515,0.022431931,0.010983911
